Age,Gender,Body Type,Height,Weight
49,Male,Average,173,70
48,Male,Heavy,180,96
36,Female,Slim,161,47
30,Female,Heavy,159,63
42,Female,Slim,159,48
60,Female,Heavy,159,83
32,Female,Average,161,56
36,Female,Average,156,56
54,Female,Heavy,161,74
53,Female,Heavy,150,75
36,Female,Athletic,178,56
18,Male,Heavy,186,94
47,Female,Slim,153,51
52,Male,Athletic,173,75
49,Female,Average,164,57
45,Male,Heavy,187,98
53,Male,Slim,167,54
23,Male,Slim,166,55
46,Male,Heavy,169,84
22,Female,Athletic,163,65
23,Male,Heavy,178,75
23,Female,Heavy,159,81
52,Male,Heavy,180,111
39,Male,Heavy,174,95
35,Female,Athletic,166,62
29,Male,Heavy,174,93
30,Female,Average,160,52
45,Female,Athletic,168,57
57,Female,Athletic,165,61
57,Female,Slim,164,42
32,Male,Slim,167,53
37,Male,Heavy,181,80
30,Female,Heavy,159,95
51,Female,Athletic,154,58
56,Male,Heavy,182,100
40,Male,Average,183,72
46,Male,Average,175,69
51,Male,Average,168,76
54,Male,Athletic,167,72
59,Female,Slim,158,48
40,Female,Average,155,54
40,Male,Athletic,178,80
44,Male,Athletic,176,77
29,Female,Average,164,51
38,Male,Heavy,182,95
52,Female,Average,161,58
51,Female,Heavy,162,83
54,Male,Heavy,177,86
30,Female,Heavy,162,73
59,Female,Athletic,163,56
56,Male,Average,170,75
51,Female,Average,166,60
55,Male,Athletic,178,70
25,Female,Slim,155,53
19,Male,Athletic,177,74
29,Female,Athletic,170,65
45,Male,Heavy,179,91
23,Female,Average,165,52
21,Female,Slim,152,45
18,Male,Slim,173,65
44,Male,Average,175,54
38,Male,Average,179,68
60,Female,Average,159,52
60,Male,Average,179,70
31,Female,Slim,164,50
41,Female,Slim,162,53
51,Female,Slim,155,50
35,Male,Average,172,62
46,Female,Heavy,156,87
59,Female,Average,157,58
38,Female,Athletic,167,57
42,Female,Heavy,154,73
56,Male,Average,172,64
19,Female,Heavy,156,94
18,Male,Slim,166,57
54,Male,Athletic,176,72
59,Male,Average,160,77
50,Male,Athletic,181,73
18,Male,Slim,170,50
39,Male,Average,178,66
32,Male,Average,176,77
28,Male,Heavy,182,90
60,Male,Athletic,179,57
58,Female,Athletic,165,63
31,Male,Athletic,179,71
60,Female,Heavy,155,84
56,Male,Athletic,174,68
29,Female,Heavy,154,89
37,Female,Athletic,165,58
55,Male,Average,164,69
33,Female,Heavy,161,75
39,Male,Average,168,62
25,Female,Heavy,154,81
19,Female,Athletic,167,51
37,Male,Slim,174,60
47,Male,Heavy,181,89
33,Female,Heavy,162,75
32,Male,Heavy,175,87
56,Male,Average,164,61
21,Female,Athletic,167,54
37,Male,Slim,166,52
35,Male,Slim,167,50
24,Female,Average,162,63
30,Female,Heavy,156,78
30,Female,Slim,158,47
34,Female,Athletic,171,60
29,Male,Slim,167,71
42,Male,Athletic,172,76
18,Female,Athletic,172,64
44,Female,Slim,158,46
30,Male,Heavy,179,83
26,Female,Heavy,162,80
46,Female,Heavy,158,82
54,Male,Athletic,172,74
44,Female,Heavy,159,97
43,Male,Heavy,184,89
31,Male,Athletic,172,68
25,Male,Heavy,178,100
40,Male,Athletic,173,73
59,Male,Heavy,187,99
26,Male,Slim,171,56
60,Female,Heavy,156,86
